         1546132249 function calls (1546130498 primitive calls) in 1236.332 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   293150    0.319    0.000    0.514    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000 1236.491 1236.491 <ipython-input-195-3727bdd7e030>:1(get_all_journeys)
        1    0.065    0.065 1236.491 1236.491 <ipython-input-195-3727bdd7e030>:3(<listcomp>)
        1    0.002    0.002 1236.493 1236.493 <string>:1(<module>)
       27    0.000    0.000    0.000    0.000 <string>:1(__hash__)
   619985    0.279    0.000    0.279    0.000 <string>:1(__init__)
 49884387   73.218    0.000 1162.108    0.000 __init__.py:136(contains)
    40635    0.135    0.000    8.559    0.000 __init__.py:142(difference)
    33457    0.022    0.000    0.740    0.000 __init__.py:147(dict_collect_set)
   156703    0.091    0.000    0.202    0.000 __init__.py:148(<lambda>)
    33457    0.305    0.000    0.718    0.000 __init__.py:151(dict_collect)
    40581    0.184    0.000   34.432    0.001 __init__.py:155(route_sections)
    20709    0.089    0.000    2.014    0.000 __init__.py:160(make_circle)
    41418    0.155    0.000   25.289    0.001 __init__.py:165(shapes)
    13776    0.019    0.000    0.049    0.000 __init__.py:170(map)
    41466    0.037    0.000    4.538    0.000 __init__.py:176(bind)
    41418    0.072    0.000   25.483    0.001 __init__.py:182(<genexpr>)
    20250    0.013    0.000    4.433    0.000 __init__.py:193(<lambda>)
   388133    0.137    0.000    0.190    0.000 __init__.py:198(or_else)
    20385    0.124    0.000   21.663    0.001 __init__.py:198(widen_line)
      504    0.000    0.000    0.001    0.000 __init__.py:205(iteritems)
   142695    0.051    0.000    0.088    0.000 __init__.py:22(wrapper)
    33484   25.068    0.001 1187.735    0.035 __init__.py:235(possible_variants)
    33484    2.078    0.000    7.769    0.000 __init__.py:247(check_variant_order)
  1621821    0.241    0.000    0.241    0.000 __init__.py:253(<lambda>)
  1621821    0.916    0.000    1.664    0.000 __init__.py:257(<lambda>)
   106584    0.140    0.000    0.140    0.000 __init__.py:270(duplicate_positions)
    33484    0.068    0.000    0.208    0.000 __init__.py:278(drop_duplicate_positions)
       27    0.556    0.021    1.481    0.055 __init__.py:294(section_times)
       27    0.001    0.000    0.069    0.003 __init__.py:348(journeys)
    67748    0.040    0.000    0.046    0.000 __init__.py:358(f)
       27    0.000    0.000    0.068    0.003 __init__.py:366(<dictcomp>)
       27    0.175    0.006    0.335    0.012 __init__.py:381(pad_journeys)
       27    0.496    0.018    2.495    0.092 __init__.py:429(stop_times)
      279    0.090    0.000    2.749    0.010 __init__.py:455(journeys_dataframe)
      279    0.001    0.000    0.269    0.001 __init__.py:476(estimate_arrival)
    58877    0.064    0.000    0.210    0.000 __init__.py:479(estimate)
      324    0.001    0.000    0.001    0.000 __init__.py:48(pairwise)
     6888    0.007    0.000    0.057    0.000 __init__.py:483(<lambda>)
     6888    0.007    0.000    0.007    0.000 __init__.py:484(<lambda>)
     6888    0.001    0.000    0.001    0.000 __init__.py:486(<lambda>)
   101925    0.168    0.000    0.168    0.000 __init__.py:489(cast)
      252    0.001    0.000    0.269    0.001 __init__.py:490(<listcomp>)
      324    0.001    0.000    0.003    0.000 __init__.py:55(sliding_window)
     1296    0.001    0.000    0.001    0.000 __init__.py:60(<genexpr>)
      324    0.001    0.000    0.005    0.000 __init__.py:63(tuplewise_padded)
   329256    0.102    0.000    0.102    0.000 __init__.py:70(take)
   329256    1.259    0.000    3.812    0.000 __init__.py:80(first)
     1296    0.001    0.000    0.001    0.000 __init__.py:88(drop)
      185    0.000    0.000    0.001    0.000 _dtype.py:190(_datetime_metadata_str)
      656    0.002    0.000    0.006    0.000 _dtype.py:319(_name_get)
      404    0.001    0.000    0.005    0.000 _dtype.py:46(__str__)
      252    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
      252    0.000    0.000    0.002    0.000 _methods.py:42(_any)
    64680    0.018    0.000    0.040    0.000 abc.py:137(__instancecheck__)
   611550    0.522    0.000    1.246    0.000 affinity.py:65(affine_pts)
   101925    1.090    0.000    7.873    0.000 affinity.py:8(affine_transform)
  7876857    2.331    0.000    3.270    0.000 apis.py:248(__hash__)
    32214    0.020    0.000    0.024    0.000 base.py:2067(__getitem__)
150836841  115.226    0.000  115.226    0.000 base.py:222(empty)
 50414910   24.548    0.000  109.730    0.000 base.py:233(__del__)
      252    0.000    0.000    0.001    0.000 base.py:2445(equals)
252500043   35.653    0.000   35.653    0.000 base.py:253(_geom)
  504/252    0.008    0.000    0.041    0.000 base.py:255(__new__)
 50414910   34.858    0.000   50.478    0.000 base.py:257(_geom)
   122310    0.328    0.000    0.843    0.000 base.py:320(_get_coords)
 50128872   27.126    0.000   95.476    0.000 base.py:347(geometryType)
 50128872   16.999    0.000  112.475    0.000 base.py:350(type)
    81540    0.089    0.000    0.421    0.000 base.py:429(area)
      504    0.000    0.000    0.000    0.000 base.py:444(<genexpr>)
      252    0.001    0.000    0.002    0.000 base.py:473(_simple_new)
    40770    0.077    0.000    0.864    0.000 base.py:478(convex_hull)
    81540    0.126    0.000    1.442    0.000 base.py:488(envelope)
     1512    0.001    0.000    0.001    0.000 base.py:4914(_ensure_index)
    40770    0.239    0.000   13.019    0.000 base.py:493(minimum_rotated_rectangle)
   101925    0.171    0.000    0.439    0.000 base.py:507(<genexpr>)
   101925    0.459    0.000    9.220    0.000 base.py:510(_transformed_rects)
    81540    0.046    0.000    0.467    0.000 base.py:529(<lambda>)
    20709    0.058    0.000    1.504    0.000 base.py:532(buffer)
    44593    0.037    0.000    0.084    0.000 base.py:61(is_dtype)
    40635    0.089    0.000    8.268    0.000 base.py:614(difference)
      252    0.000    0.000    0.000    0.000 base.py:615(is_)
   101925    0.091    0.000    0.370    0.000 base.py:634(has_z)
      504    0.000    0.000    0.000    0.000 base.py:635(_reset_identity)
   448470    0.557    0.000    1.887    0.000 base.py:640(is_empty)
     1260    0.001    0.000    0.001    0.000 base.py:641(__len__)
 50353296   62.512    0.000   62.512    0.000 base.py:67(geometry_type_name)
 49884387   51.672    0.000  446.849    0.000 base.py:689(contains)
   224424    1.133    0.000    2.964    0.000 base.py:73(geom_factory)
    23966    0.060    0.000    0.126    0.000 cast.py:1207(construct_1d_object_array_from_listlike)
     8500    0.004    0.000    0.020    0.000 cast.py:1232(construct_1d_ndarray_preserving_na)
    23714    0.054    0.000    0.521    0.000 cast.py:44(maybe_convert_platform)
    32214    0.098    0.000    0.604    0.000 cast.py:867(maybe_infer_to_datetimelike)
    21584    0.020    0.000    0.190    0.000 cast.py:908(try_datetime)
    32214    0.109    0.000    0.801    0.000 cast.py:971(maybe_cast_to_datetime)
      252    0.000    0.000    0.002    0.000 common.py:1043(is_datetime64_any_dtype)
    41118    0.013    0.000    0.078    0.000 common.py:122(is_sparse)
      252    0.001    0.000    0.005    0.000 common.py:123(_default_index)
      252    0.000    0.000    0.000    0.000 common.py:1527(is_float_dtype)
      252    0.000    0.000    0.000    0.000 common.py:154(_all_none)
      252    0.000    0.000    0.001    0.000 common.py:1578(is_bool_dtype)
     8500    0.008    0.000    0.120    0.000 common.py:1629(is_extension_type)
     2282    0.003    0.000    0.010    0.000 common.py:1688(is_extension_array_dtype)
    33726    0.048    0.000    0.079    0.000 common.py:1835(_get_dtype_type)
      252    0.001    0.000    0.001    0.000 common.py:191(_dict_keys_to_ordered_list)
    10782    0.006    0.000    0.044    0.000 common.py:195(is_categorical)
    32551    0.016    0.000    0.115    0.000 common.py:227(is_datetimetz)
