         839067144 function calls (636176786 primitive calls) in 320.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   149480    0.151    0.000    0.241    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000  365.517  365.517 <ipython-input-11-3727bdd7e030>:1(get_all_journeys)
        1    0.038    0.038  365.517  365.517 <ipython-input-11-3727bdd7e030>:3(<listcomp>)
        1    0.001    0.001  365.518  365.518 <string>:1(<module>)
       27    0.000    0.000    0.000    0.000 <string>:1(__hash__)
    18765    0.008    0.000    0.008    0.000 <string>:1(__init__)
 25427110    9.880    0.000  191.818    0.000 __init__.py:136(contains_point)
    33545    0.026    0.000   14.816    0.000 __init__.py:142(dict_collect_set)
    79779    0.076    0.000    3.707    0.000 __init__.py:143(<lambda>)
    20655    0.063    0.000    4.187    0.000 __init__.py:145(difference)
    33545    0.233    0.000   14.790    0.000 __init__.py:146(dict_collect)
    20628    0.086    0.000   16.520    0.001 __init__.py:158(route_sections)
    10530    0.046    0.000    0.976    0.000 __init__.py:163(make_circle)
     6454    0.008    0.000    0.020    0.000 __init__.py:165(map)
    21060    0.075    0.000   12.059    0.001 __init__.py:168(shapes)
    18996    0.016    0.000    2.215    0.000 __init__.py:171(bind)
    21060    0.035    0.000   12.148    0.001 __init__.py:185(<genexpr>)
   194800    0.077    0.000    0.106    0.000 __init__.py:193(or_else)
    10287    0.006    0.000    2.171    0.000 __init__.py:196(<lambda>)
    10368    0.057    0.000   10.315    0.001 __init__.py:201(widen_line)
      252    0.000    0.000    0.000    0.000 __init__.py:205(iteritems)
    72576    0.024    0.000    0.042    0.000 __init__.py:22(wrapper)
    33572    8.561    0.000  208.798    0.006 __init__.py:238(possible_variants)
    33572    1.052    0.000  100.465    0.003 __init__.py:251(check_variant_order)
   834571    0.154    0.000    0.154    0.000 __init__.py:257(<lambda>)
   834571    0.630    0.000   37.238    0.000 __init__.py:261(<lambda>)
   106584    0.110    0.000    0.110    0.000 __init__.py:274(duplicate_positions)
    33572    0.045    0.000    0.156    0.000 __init__.py:282(drop_duplicate_positions)
       27    0.362    0.013   16.725    0.619 __init__.py:298(section_times)
       27    0.000    0.000    0.036    0.001 __init__.py:352(journeys)
    34234    0.017    0.000    0.020    0.000 __init__.py:362(f)
       27    0.000    0.000    0.035    0.001 __init__.py:370(<dictcomp>)
       27    0.060    0.002    0.309    0.011 __init__.py:385(pad_journeys)
      162    0.000    0.000    0.000    0.000 __init__.py:43(pairwise)
       27    0.070    0.003   19.609    0.726 __init__.py:433(stop_times)
      153    0.038    0.000    1.245    0.008 __init__.py:459(journeys_dataframe)
      153    0.000    0.000    0.111    0.001 __init__.py:482(estimate_arrival)
    27393    0.026    0.000    0.086    0.000 __init__.py:487(estimate)
    51840    0.081    0.000    0.081    0.000 __init__.py:489(cast)
     3227    0.003    0.000    0.023    0.000 __init__.py:492(<lambda>)
     3227    0.003    0.000    0.003    0.000 __init__.py:493(<lambda>)
     3227    0.000    0.000    0.000    0.000 __init__.py:494(<lambda>)
      126    0.000    0.000    0.111    0.001 __init__.py:498(<listcomp>)
      162    0.001    0.000    0.001    0.000 __init__.py:50(sliding_window)
      648    0.000    0.000    0.001    0.000 __init__.py:55(<genexpr>)
      162    0.001    0.000    0.002    0.000 __init__.py:58(tuplewise_padded)
   167407    0.067    0.000    0.067    0.000 __init__.py:65(take)
   167407    0.778    0.000   38.599    0.000 __init__.py:75(first)
      648    0.000    0.000    0.000    0.000 __init__.py:83(drop)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       94    0.000    0.000    0.000    0.000 _dtype.py:190(_datetime_metadata_str)
      335    0.001    0.000    0.003    0.000 _dtype.py:319(_name_get)
      209    0.001    0.000    0.002    0.000 _dtype.py:46(__str__)
      126    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
      126    0.000    0.000    0.001    0.000 _methods.py:42(_any)
    32886    0.009    0.000    0.018    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
   311040    0.255    0.000    0.585    0.000 affinity.py:65(affine_pts)
    51840    0.525    0.000    3.639    0.000 affinity.py:8(affine_transform)
  3103910   22.691    0.000  142.089    0.000 apis.py:247(__hash__)
205993364   23.123    0.000   23.123    0.000 apis.py:248(<genexpr>)
    16380    0.010    0.000    0.011    0.000 base.py:2067(__getitem__)
   601992    0.669    0.000    0.669    0.000 base.py:222(empty)
   269811    0.148    0.000    0.676    0.000 base.py:233(__del__)
      126    0.000    0.000    0.000    0.000 base.py:2445(equals)
128701037   15.910    0.000   15.910    0.000 base.py:253(_geom)
  252/126    0.004    0.000    0.020    0.000 base.py:255(__new__)
   269811    0.214    0.000    0.330    0.000 base.py:257(_geom)
    62208    0.056    0.000    0.300    0.000 base.py:320(_get_coords)
 25551445   11.356    0.000   37.494    0.000 base.py:347(geometryType)
 25551445    7.402    0.000   44.897    0.000 base.py:350(type)
