         1396267159 function calls (991483016 primitive calls) in 845.893 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   263180    0.313    0.000    0.482    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000  896.496  896.496 <ipython-input-182-3727bdd7e030>:1(get_all_journeys)
        1    0.041    0.041  896.496  896.496 <ipython-input-182-3727bdd7e030>:3(<listcomp>)
        1    0.001    0.001  896.497  896.497 <string>:1(<module>)
202391621   82.441    0.000  221.562    0.000 <string>:1(__hash__)
   367349    0.220    0.000    0.220    0.000 <string>:1(__init__)
 25306588   37.717    0.000  581.654    0.000 __init__.py:136(contains)
    41310    0.142    0.000    8.885    0.000 __init__.py:142(difference)
    33386    0.031    0.000   26.469    0.001 __init__.py:147(dict_collect_set)
    79278    0.077    0.000    6.668    0.000 __init__.py:148(<lambda>)
    33386    0.266    0.000   26.438    0.001 __init__.py:151(dict_collect)
    41256    0.199    0.000   35.844    0.001 __init__.py:155(route_sections)
    21060    0.097    0.000    2.130    0.000 __init__.py:160(make_circle)
    42120    0.171    0.000   26.336    0.001 __init__.py:165(shapes)
     6518    0.009    0.000    0.024    0.000 __init__.py:170(map)
    29391    0.028    0.000    4.663    0.000 __init__.py:176(bind)
    42120    0.077    0.000   26.540    0.001 __init__.py:182(<genexpr>)
    20574    0.013    0.000    4.601    0.000 __init__.py:193(<lambda>)
   194103    0.086    0.000    0.119    0.000 __init__.py:198(or_else)
    20736    0.135    0.000   22.509    0.001 __init__.py:198(widen_line)
      252    0.000    0.000    0.000    0.000 __init__.py:205(iteritems)
   145152    0.051    0.000    0.296    0.000 __init__.py:22(wrapper)
    33413   12.808    0.000  629.113    0.019 __init__.py:235(possible_variants)
       27    0.008    0.000   18.160    0.673 __init__.py:238(<dictcomp>)
    33413    1.222    0.000  179.202    0.005 __init__.py:248(check_variant_order)
   838468    0.163    0.000    0.163    0.000 __init__.py:254(<lambda>)
   838468    0.610    0.000   67.542    0.000 __init__.py:258(<lambda>)
   106584    0.150    0.000    0.150    0.000 __init__.py:271(duplicate_positions)
    33413    0.068    0.000    0.218    0.000 __init__.py:279(drop_duplicate_positions)
       27    0.444    0.016   30.365    1.125 __init__.py:295(section_times)
       27    0.000    0.000    0.046    0.002 __init__.py:349(journeys)
    34252    0.019    0.000    0.022    0.000 __init__.py:359(f)
       27    0.000    0.000    0.045    0.002 __init__.py:367(<dictcomp>)
       27    0.072    0.003    0.464    0.017 __init__.py:382(pad_journeys)
       27    0.102    0.004   35.633    1.320 __init__.py:430(stop_times)
      153    0.043    0.000    1.371    0.009 __init__.py:456(journeys_dataframe)
      153    0.000    0.000    0.124    0.001 __init__.py:477(estimate_arrival)
      324    0.001    0.000    0.001    0.000 __init__.py:48(pairwise)
    27536    0.029    0.000    0.097    0.000 __init__.py:480(estimate)
